drug1id,drug2id,drug1dose,drug2dose,combination_name,cellid,batchid,viability1,viability2,viability3,viability4,mu/muMax_published,X/X0_published
Sunitinib,Temozolomide,2.5,2.75,Sunitinib & Temozolomide,A375,1,0.985,0.493,0.522,1.08,0.865,0.829
Sunitinib,Temozolomide,2.5,12.3,Sunitinib & Temozolomide,A375,1,0.935,0.467,0.485,1.15,0.836,0.797
Sunitinib,Temozolomide,2.5,55,Sunitinib & Temozolomide,A375,1,0.283,0.32,1.116,1.172,0.842,0.803
Sunitinib,Temozolomide,2.5,250,Sunitinib & Temozolomide,A375,1,0.32,0.403,0.359,0.342,0.499,0.499
Sunitinib,Topotecan,0.625,0.0223,Sunitinib & Topotecan,A375,1,0.351,0.345,1.29,0.293,0.496,0.497
Sunitinib,Topotecan,0.625,0.0775,Sunitinib & Topotecan,A375,1,0.313,0.313,1.252,0.274,0.445,0.464
Sunitinib,Topotecan,0.625,0.275,Sunitinib & Topotecan,A375,1,0.216,0.211,0.209,0.188,0.254,0.355
Sunitinib,geldanamycin,0.625,2,Sunitinib & geldanamycin,A375,1,0.747,0.807,0.804,0.709,0.878,0.845
Sunitinib,geldanamycin,2.5,0.0223,Sunitinib & geldanamycin,A375,1,0.698,0.752,0.786,0.64,0.846,0.808
Sunitinib,geldanamycin,2.5,0.1,Sunitinib & geldanamycin,A375,1,0.335,0.323,0.339,0.396,0.481,0.487
Sunitinib,geldanamycin,2.5,0.45,Sunitinib & geldanamycin,A375,1,0.028,0.025,0.033,0.04,-0.663,0.1
Sunitinib,geldanamycin,2.5,2,Sunitinib & geldanamycin,A375,1,0.515,0.435,0.454,0.417,0.612,0.584
Temozolomide,ABT-888,2.75,0.35,Temozolomide & ABT-888,A375,1,0.467,0.421,0.462,0.45,0.625,0.594
Temozolomide,ABT-888,2.75,1.08,Temozolomide & ABT-888,A375,1,0.299,0.256,0.273,0.286,0.391,0.43
Temozolomide,ABT-888,2.75,3.25,Temozolomide & ABT-888,A375,1,0.029,0.029,0.028,0.019,-0.7,0.095
Temozolomide,BEZ-235,2.75,0.4,Temozolomide & BEZ-235,A375,1,0.597,1.125,0.722,0.66,0.823,0.783
Temozolomide,Bortezomib,2.75,0.00045,Temozolomide & Bortezomib,A375,1,0.631,1.083,0.695,0.712,0.832,0.792
Temozolomide,Bortezomib,2.75,0.002,Temozolomide & Bortezomib,A375,1,0.528,0.72,0.636,1.177,0.815,0.773
Temozolomide,Bortezomib,2.75,0.009,Temozolomide & Bortezomib,A375,1,0.341,0.393,0.943,0.369,0.539,0.528
Temozolomide,Bortezomib,2.75,0.04,Temozolomide & Bortezomib,A375,1,0.422,0.428,1.297,0.405,0.591,0.567
Temozolomide,Dasatinib,2.75,0.024,Temozolomide & Dasatinib,A375,1,0.489,0.413,0.421,0.453,0.604,0.578
Temozolomide,Dasatinib,2.75,0.12,Temozolomide & Dasatinib,A375,1,0.472,0.353,0.459,0.383,0.586,0.563
Temozolomide,Dasatinib,2.75,0.6,Temozolomide & Dasatinib,A375,1,0.355,0.252,0.293,0.252,0.379,0.423
Temozolomide,Erlotinib,2.75,5,Temozolomide & Erlotinib,A375,1,0.578,0.532,0.645,0.613,0.752,0.709
Temozolomide,Lapatinib,2.75,0.055,Temozolomide & Lapatinib,A375,1,0.553,0.451,0.592,0.582,0.729,0.687
Temozolomide,Lapatinib,2.75,0.245,Temozolomide & Lapatinib,A375,1,0.507,0.468,0.502,0.599,0.673,0.636
Temozolomide,Lapatinib,2.75,1.1,Temozolomide & Lapatinib,A375,1,0.47,0.444,0.451,0.435,0.616,0.587
Temozolomide,Lapatinib,2.75,5,Temozolomide & Lapatinib,A375,1,0.446,0.374,0.448,0.452,0.615,0.587
Temozolomide,MK-2206,2.75,0.045,Temozolomide & MK-2206,A375,1,0.434,0.411,0.459,0.441,0.605,0.578
Temozolomide,MK-2206,2.75,0.2,Temozolomide & MK-2206,A375,1,0.397,0.419,0.384,0.396,0.558,0.542
Temozolomide,MK-2206,2.75,0.9,Temozolomide & MK-2206,A375,1,0.358,0.343,0.39,0.371,0.518,0.513
Temozolomide,MK-5108,2.75,0.675,Temozolomide & MK-5108,A375,1,0.584,1.004,1.122,1.107,1.026,1.036
Temozolomide,MK-5108,2.75,2,Temozolomide & MK-5108,A375,1,0.587,0.767,0.751,0.737,0.859,0.822
Temozolomide,MK-8669,2.75,0.00011,Temozolomide & MK-8669,A375,1,0.914,0.657,1.092,0.711,0.901,0.871
Temozolomide,MK-8669,2.75,5e-04,Temozolomide & MK-8669,A375,1,0.51,1.135,0.621,0.749,0.819,0.779
Temozolomide,MK-8669,2.75,0.00223,Temozolomide & MK-8669,A375,1,0.989,0.422,0.483,0.434,0.627,0.596
Temozolomide,MK-8669,2.75,0.01,Temozolomide & MK-8669,A375,1,0.399,0.451,0.496,0.416,0.601,0.575
Temozolomide,MK-8776,2.75,0.0925,Temozolomide & MK-8776,A375,1,0.478,0.379,0.456,0.393,0.59,0.567
Temozolomide,MK-8776,2.75,0.325,Temozolomide & MK-8776,A375,1,0.541,0.436,0.465,0.436,0.619,0.59
Temozolomide,PD325901,2.75,0.0223,Temozolomide & PD325901,A375,1,0.646,0.64,0.739,0.665,0.798,0.756
Temozolomide,PD325901,2.75,0.1,Temozolomide & PD325901,A375,1,0.607,0.572,0.625,0.648,0.769,0.725
Temozolomide,SN-38,2.75,0.000115,Temozolomide & SN-38,A375,1,0.621,0.48,0.546,0.502,0.691,0.652
Temozolomide,SN-38,2.75,4e-04,Temozolomide & SN-38,A375,1,0.581,0.478,0.501,0.366,0.659,0.623
Temozolomide,SN-38,2.75,0.00143,Temozolomide & SN-38,A375,1,0.421,0.437,0.416,0.477,0.596,0.571
Temozolomide,SN-38,2.75,0.005,Temozolomide & SN-38,A375,1,0.387,0.424,0.356,0.43,0.569,0.55
Temozolomide,Sorafenib,2.75,2.5,Temozolomide & Sorafenib,A375,1,0.36,0.384,0.359,0.385,0.528,0.519
Temozolomide,Sorafenib,2.75,5,Temozolomide & Sorafenib,A375,1,0.383,0.404,0.317,0.33,0.507,0.505
Temozolomide,geldanamycin,2.75,0.45,Temozolomide & geldanamycin,A375,1,0.728,0.604,0.664,0.643,0.797,0.755
Temozolomide,geldanamycin,2.75,2,Temozolomide & geldanamycin,A375,1,0.719,0.638,0.632,0.592,0.783,0.74
Topotecan,BEZ-235,0.0223,0.0045,Topotecan & BEZ-235,A375,1,0.486,0.448,0.477,0.393,0.632,0.6
Topotecan,BEZ-235,0.0223,0.02,Topotecan & BEZ-235,A375,1,0.307,0.251,0.258,0.264,0.357,0.41
Topotecan,BEZ-235,0.0223,0.09,Topotecan & BEZ-235,A375,1,0.425,0.418,0.462,0.446,0.603,0.577
Topotecan,BEZ-235,0.0223,0.4,Topotecan & BEZ-235,A375,1,0.419,0.394,0.434,0.368,0.57,0.551
Topotecan,Dinaciclib,0.0223,0.000925,Topotecan & Dinaciclib,A375,1,0.417,0.334,0.412,0.37,0.551,0.537
Topotecan,Dinaciclib,0.0223,0.00325,Topotecan & Dinaciclib,A375,1,0.285,0.232,0.258,0.258,0.353,0.408
Topotecan,Sorafenib,0.0223,10,Topotecan & Sorafenib,A375,1,0.777,0.807,0.753,0.707,0.872,0.837
Topotecan,Sorafenib,0.0223,20,Topotecan & Sorafenib,A375,1,0.765,0.675,0.726,0.65,0.83,0.79
Vinblastine,ABT-888,0.000325,0.35,Vinblastine & ABT-888,A375,1,0.659,0.663,0.604,0.576,0.78,0.737
Vinblastine,ABT-888,0.000325,1.08,Vinblastine & ABT-888,A375,1,0.543,0.58,0.703,0.585,0.742,0.699
Vinblastine,ABT-888,0.000325,3.25,Vinblastine & ABT-888,A375,1,0.496,0.509,0.492,0.464,0.663,0.627
Vinblastine,ABT-888,0.000325,10,Vinblastine & ABT-888,A375,1,0.494,0.436,0.42,0.527,0.634,0.602
Vinblastine,AZD1775,0.000325,0.0325,Vinblastine & AZD1775,A375,1,0.452,0.474,0.453,0.515,0.633,0.601
Vinblastine,AZD1775,0.000325,0.08,Vinblastine & AZD1775,A375,1,0.532,0.459,0.415,0.48,0.639,0.606
Vinblastine,Bortezomib,0.000325,0.009,Vinblastine & Bortezomib,A375,1,0.801,0.712,0.751,0.679,0.851,0.813
Vinblastine,Bortezomib,0.000325,0.04,Vinblastine & Bortezomib,A375,1,0.789,0.555,0.621,0.651,0.784,0.741
Vinblastine,Dasatinib,0.000325,0.024,Vinblastine & Dasatinib,A375,1,0.6,0.539,0.598,0.557,0.737,0.695
Vinblastine,Dasatinib,0.000325,0.12,Vinblastine & Dasatinib,A375,1,0.535,0.534,0.555,0.477,0.701,0.66
Vinblastine,Dasatinib,0.000325,0.6,Vinblastine & Dasatinib,A375,1,0.455,0.438,0.364,0.438,0.605,0.579
Vinblastine,Dasatinib,0.000325,3,Vinblastine & Dasatinib,A375,1,0.412,0.414,0.361,0.449,0.577,0.556
Vinblastine,Dinaciclib,0.000325,0.000925,Vinblastine & Dinaciclib,A375,1,0.347,0.384,0.339,0.37,0.51,0.507
Vinblastine,Dinaciclib,0.000325,0.00325,Vinblastine & Dinaciclib,A375,1,0.319,0.377,0.335,0.351,0.489,0.492
Vinblastine,L778123,0.000325,2,Vinblastine & L778123,A375,1,0.692,0.8,0.793,0.757,0.878,0.845
Vinblastine,L778123,0.000325,5,Vinblastine & L778123,A375,1,0.558,0.532,0.559,0.545,0.716,0.674
Vinblastine,Lapatinib,0.000325,0.055,Vinblastine & Lapatinib,A375,1,0.429,0.404,0.44,0.383,0.581,0.559
Vinblastine,Lapatinib,0.000325,0.245,Vinblastine & Lapatinib,A375,1,0.442,0.396,0.466,0.427,0.602,0.576
Vinblastine,Lapatinib,0.000325,1.1,Vinblastine & Lapatinib,A375,1,0.449,0.418,0.355,0.38,0.561,0.544
Vinblastine,Lapatinib,0.000325,5,Vinblastine & Lapatinib,A375,1,0.332,0.286,0.237,0.297,0.411,0.442
Vinblastine,MK-2206,0.000325,0.045,Vinblastine & MK-2206,A375,1,0.318,0.183,0.275,0.216,0.329,0.395
Vinblastine,MK-2206,0.000325,0.2,Vinblastine & MK-2206,A375,1,0.28,0.301,0.318,0.322,0.44,0.46
Vinblastine,MK-5108,0.000325,0.675,Vinblastine & MK-5108,A375,1,0.707,0.733,0.73,0.687,0.842,0.803
Vinblastine,MK-5108,0.000325,2,Vinblastine & MK-5108,A375,1,0.451,0.446,0.461,0.443,0.617,0.588
Vinblastine,MK-8669,0.000325,0.00011,Vinblastine & MK-8669,A375,1,0.276,0.283,0.27,0.259,0.379,0.423
Vinblastine,MK-8669,0.000325,5e-04,Vinblastine & MK-8669,A375,1,0.205,0.198,0.192,0.201,0.229,0.343
Vinblastine,Sorafenib,0.000325,10,Vinblastine & Sorafenib,A375,1,0.704,0.78,0.851,0.786,0.883,0.85
Vinblastine,Sorafenib,0.000325,20,Vinblastine & Sorafenib,A375,1,0.989,0.679,0.789,0.743,0.873,0.838
Vinblastine,Sunitinib,0.000325,0.625,Vinblastine & Sunitinib,A375,1,1.078,0.673,0.993,0.499,0.913,0.886
Vinblastine,Sunitinib,0.000325,1.25,Vinblastine & Sunitinib,A375,1,0.053,0.069,1.067,0.092,-0.205,0.188
Vinorelbine,ABT-888,0.000325,3.25,Vinorelbine & ABT-888,A375,1,0.646,0.755,0.702,0.699,0.83,0.79
Vinorelbine,ABT-888,0.000325,10,Vinorelbine & ABT-888,A375,1,0.986,1.137,1.104,0.514,1.021,1.029
Vinorelbine,AZD1775,0.000325,0.0325,Vinorelbine & AZD1775,A375,1,0.331,0.52,1.136,0.41,0.634,0.602
Vinorelbine,AZD1775,0.000325,0.08,Vinorelbine & AZD1775,A375,1,0.879,0.262,1.109,0.27,0.735,0.693
Vinorelbine,Dasatinib,0.000325,0.6,Vinorelbine & Dasatinib,A375,1,0.694,0.815,0.73,0.65,0.838,0.798
Vinorelbine,Dasatinib,0.000325,3,Vinorelbine & Dasatinib,A375,1,0.793,0.815,0.801,0.677,0.892,0.86
Vinorelbine,Dinaciclib,0.000325,0.000925,Vinorelbine & Dinaciclib,A375,1,0.715,0.713,0.873,0.686,0.839,0.8
Vinorelbine,Dinaciclib,0.000325,0.00325,Vinorelbine & Dinaciclib,A375,1,0.545,0.554,0.504,0.561,0.714,0.673
Vinorelbine,MK-2206,0.000325,0.9,Vinorelbine & MK-2206,A375,1,0.859,0.77,0.84,0.719,0.896,0.866
Vinorelbine,MK-2206,0.000325,4,Vinorelbine & MK-2206,A375,1,0.844,0.896,0.797,0.763,0.905,0.877
Vinorelbine,MK-4827,0.000325,0.223,Vinorelbine & MK-4827,A375,1,0.643,0.663,0.68,0.669,0.806,0.764
Vinorelbine,MK-4827,0.000325,0.775,Vinorelbine & MK-4827,A375,1,0.133,0.122,0.098,0.045,-0.055,0.232
Vinorelbine,MK-8776,0.000325,1.15,Vinorelbine & MK-8776,A375,1,0.79,0.787,0.836,0.746,0.887,0.854
Vinorelbine,MK-8776,0.000325,4,Vinorelbine & MK-8776,A375,1,0.778,0.732,0.81,0.756,0.873,0.839
Vinorelbine,PD325901,0.000325,0.0011,Vinorelbine & PD325901,A375,1,0.455,0.543,0.547,0.508,0.693,0.653
Vinorelbine,PD325901,0.000325,0.005,Vinorelbine & PD325901,A375,1,0.272,0.273,0.287,0.268,0.379,0.423
Vinorelbine,geldanamycin,0.000325,0.45,Vinorelbine & geldanamycin,A375,1,0.963,0.985,0.881,1.011,0.987,0.983
Vinorelbine,geldanamycin,0.000325,2,Vinorelbine & geldanamycin,A375,1,0.996,0.898,0.912,1.01,0.978,0.969
Zolinza,ABT-888,0.0925,0.35,Zolinza & ABT-888,A375,1,0.99,0.965,1.014,0.964,0.989,0.985
Zolinza,ABT-888,0.0925,1.08,Zolinza & ABT-888,A375,1,0.926,0.912,0.986,0.968,0.974,0.965
Zolinza,AZD1775,0.325,0.2,Zolinza & AZD1775,A375,1,0.875,0.94,0.926,1.03,0.967,0.955
Zolinza,AZD1775,0.325,0.5,Zolinza & AZD1775,A375,1,0.602,0.593,0.61,0.665,0.761,0.718
Zolinza,BEZ-235,0.0925,0.0045,Zolinza & BEZ-235,A375,1,0.264,0.311,0.261,0.307,0.401,0.436
Zolinza,BEZ-235,0.0925,0.02,Zolinza & BEZ-235,A375,1,0.165,0.154,0.167,0.162,0.136,0.302
Zolinza,Bortezomib,0.325,0.009,Zolinza & Bortezomib,A375,1,0.79,1.092,1.056,1.084,1.032,1.046
Zolinza,Bortezomib,0.325,0.04,Zolinza & Bortezomib,A375,1,0.842,1.054,1.015,1.016,1.007,1.01
Zolinza,Dasatinib,0.0925,0.024,Zolinza & Dasatinib,A375,1,0.136,0.166,0.061,0.085,-0.053,0.232
Zolinza,Dasatinib,0.0925,0.12,Zolinza & Dasatinib,A375,1,0.001,0.001,0.001,0.001,-2.287,0.011
Zolinza,Dinaciclib,0.325,0.0115,Zolinza & Dinaciclib,A375,1,0.866,0.964,0.972,0.914,0.97,0.959
Zolinza,Dinaciclib,0.325,0.04,Zolinza & Dinaciclib,A375,1,0.893,0.944,0.946,0.864,0.959,0.945
Zolinza,Erlotinib,0.0925,0.055,Zolinza & Erlotinib,A375,1,0.785,0.727,0.87,0.712,0.866,0.831
Zolinza,Erlotinib,0.0925,0.245,Zolinza & Erlotinib,A375,1,0.384,0.448,0.362,0.357,0.529,0.52
Zolinza,MK-2206,0.325,0.9,Zolinza & MK-2206,A375,1,0.798,0.837,0.812,0.816,0.902,0.873
Zolinza,MK-2206,0.325,4,Zolinza & MK-2206,A375,1,0.739,0.755,0.748,0.844,0.864,0.828
Zolinza,MK-4827,0.0925,0.223,Zolinza & MK-4827,A375,1,0.658,0.688,0.658,0.724,0.811,0.77
Zolinza,MK-4827,0.0925,0.775,Zolinza & MK-4827,A375,1,0.624,0.598,0.621,0.672,0.774,0.731
Zolinza,MK-8776,0.325,1.15,Zolinza & MK-8776,A375,1,0.93,1.018,0.927,1.108,0.987,0.983
Zolinza,MK-8776,0.325,4,Zolinza & MK-8776,A375,1,0.804,0.996,0.865,1.082,0.965,0.953
Zolinza,Oxaliplatin,0.0925,0.75,Zolinza & Oxaliplatin,A375,1,0.767,0.983,0.825,0.876,0.923,0.898
Zolinza,Oxaliplatin,0.0925,2.25,Zolinza & Oxaliplatin,A375,1,0.672,0.702,0.588,0.441,0.779,0.736
Zolinza,PD325901,0.325,0.0223,Zolinza & PD325901,A375,1,0.794,0.778,0.876,0.76,0.885,0.852
Zolinza,PD325901,0.325,0.1,Zolinza & PD325901,A375,1,0.526,0.446,0.472,0.451,0.63,0.599
Zolinza,SN-38,0.0925,0.000115,Zolinza & SN-38,A375,1,0.223,0.249,0.259,0.265,0.345,0.404
Zolinza,SN-38,0.0925,4e-04,Zolinza & SN-38,A375,1,0.185,0.212,0.206,0.191,0.227,0.342
Zolinza,Sorafenib,0.325,10,Zolinza & Sorafenib,A375,1,0.936,0.936,0.879,0.904,0.96,0.946
Zolinza,Sorafenib,0.325,20,Zolinza & Sorafenib,A375,1,1.001,1.007,0.869,0.907,0.978,0.969
Zolinza,Sunitinib,0.0925,0.625,Zolinza & Sunitinib,A375,1,0.607,0.644,0.356,0.596,0.757,0.714
Zolinza,Sunitinib,0.0925,1.25,Zolinza & Sunitinib,A375,1,0.247,0.211,0.121,0.289,0.296,0.377
Zolinza,Topotecan,0.325,0.275,Zolinza & Topotecan,A375,1,0.95,0.942,0.839,0.792,0.944,0.926
Zolinza,Topotecan,0.325,1,Zolinza & Topotecan,A375,1,0.859,0.831,0.772,0.736,0.894,0.863
Zolinza,geldanamycin,0.0925,0.0223,Zolinza & geldanamycin,A375,1,0.186,0.119,0.115,0.142,0.026,0.259
Zolinza,geldanamycin,0.0925,0.1,Zolinza & geldanamycin,A375,1,0.036,0.036,0.021,0.048,-0.583,0.111
geldanamycin,Dinaciclib,0.0223,0.0115,geldanamycin & Dinaciclib,A375,1,0.551,0.31,0.538,0.533,0.701,0.661
geldanamycin,Dinaciclib,0.0223,0.04,geldanamycin & Dinaciclib,A375,1,0.121,0.075,0.156,0.149,0.043,0.265
geldanamycin,MK-8776,0.0223,0.0925,geldanamycin & MK-8776,A375,1,0.041,0.026,0.043,0.047,-0.515,0.122
geldanamycin,MK-8776,0.0223,0.325,geldanamycin & MK-8776,A375,1,0.05,0.069,0.068,0.059,-0.317,0.161
geldanamycin,Sorafenib,0.0223,10,geldanamycin & Sorafenib,A375,1,0.935,0.951,1.025,0.957,0.977,0.969
geldanamycin,Sorafenib,0.0223,20,geldanamycin & Sorafenib,A375,1,0.728,0.807,0.815,0.806,0.897,0.867
geldanamycin,Topotecan,0.0223,0.0223,geldanamycin & Topotecan,A375,1,0.311,0.275,0.419,0.351,0.471,0.481
geldanamycin,Topotecan,0.0223,0.0775,geldanamycin & Topotecan,A375,1,0.151,0.146,0.144,0.171,0.09,0.283
5-FU,Bortezomib,0.35,0.00045,5-FU & Bortezomib,A427,1,0.675,0.582,0.482,0.516,0.676,0.638
5-FU,Bortezomib,0.35,0.002,5-FU & Bortezomib,A427,1,0.645,0.41,0.524,0.583,0.68,0.641
5-FU,Bortezomib,0.35,0.009,5-FU & Bortezomib,A427,1,0.554,0.479,0.499,0.416,0.613,0.585
5-FU,Bortezomib,0.35,0.04,5-FU & Bortezomib,A427,1,0.435,0.377,0.318,0.336,0.442,0.461
5-FU,L778123,0.35,0.325,5-FU & L778123,A427,1,0.338,0.495,0.54,0.571,0.643,0.61
5-FU,L778123,0.35,0.8,5-FU & L778123,A427,1,0.326,0.336,0.243,0.33,0.397,0.433
5-FU,L778123,0.35,2,5-FU & L778123,A427,1,0.231,0.173,0.16,0.164,0.038,0.264
5-FU,L778123,0.35,5,5-FU & L778123,A427,1,0.076,0.073,0.048,0.077,-0.407,0.142
5-FU,MK-5108,0.35,0.075,5-FU & MK-5108,A427,1,0.411,0.507,0.657,0.439,0.595,0.57
5-FU,MK-5108,0.35,0.225,5-FU & MK-5108,A427,1,0.426,0.497,0.57,0.587,0.66,0.624
5-FU,MK-5108,0.35,0.675,5-FU & MK-5108,A427,1,0.366,0.398,0.389,0.376,0.48,0.486
5-FU,MK-5108,0.35,2,5-FU & MK-5108,A427,1,0.274,0.283,0.304,0.233,0.308,0.383
5-FU,Sorafenib,0.35,2.5,5-FU & Sorafenib,A427,1,0.409,0.598,0.512,0.621,0.682,0.643
5-FU,Sorafenib,0.35,5,5-FU & Sorafenib,A427,1,0.469,0.62,0.593,0.56,0.702,0.661
5-FU,Sorafenib,0.35,10,5-FU & Sorafenib,A427,1,0.041,0.019,0.018,0.029,-1.02,0.061
5-FU,Sorafenib,0.35,20,5-FU & Sorafenib,A427,1,0.001,0.001,0.001,0.001,-2.731,0.006
5-FU,geldanamycin,0.35,0.0223,5-FU & geldanamycin,A427,1,0.43,0.427,0.337,0.262,0.479,0.486
5-FU,geldanamycin,0.35,0.1,5-FU & geldanamycin,A427,1,0.342,0.344,0.334,0.314,0.413,0.443
5-FU,geldanamycin,0.35,0.45,5-FU & geldanamycin,A427,1,0.391,0.337,0.288,0.384,0.448,0.465
5-FU,geldanamycin,0.35,2,5-FU & geldanamycin,A427,1,0.288,0.29,0.179,0.195,0.231,0.344
ABT-888,MK-8776,0.35,0.0925,ABT-888 & MK-8776,A427,1,0.525,0.629,0.497,0.427,0.637,0.604
ABT-888,MK-8776,0.35,0.325,ABT-888 & MK-8776,A427,1,0.366,0.524,0.461,0.41,0.551,0.536
ABT-888,MK-8776,0.35,1.15,ABT-888 & MK-8776,A427,1,0.088,0.102,0.135,0.122,-0.183,0.194
ABT-888,MK-8776,0.35,4,ABT-888 & MK-8776,A427,1,0.006,0.006,0.005,0.003,-1.851,0.019
ABT-888,Topotecan,0.35,0.0223,ABT-888 & Topotecan,A427,1,0.622,0.546,0.68,0.488,0.709,0.668
ABT-888,Topotecan,0.35,0.0775,ABT-888 & Topotecan,A427,1,0.658,0.559,0.487,0.546,0.679,0.641
ABT-888,Topotecan,0.35,0.275,ABT-888 & Topotecan,A427,1,0.357,0.506,0.323,0.343,0.432,0.455
ABT-888,Topotecan,0.35,1,ABT-888 & Topotecan,A427,1,0.127,0.165,0.126,0.13,-0.109,0.215
AZD1775,Dasatinib,0.0325,0.024,AZD1775 & Dasatinib,A427,1,0.617,0.661,0.537,0.536,0.702,0.662
AZD1775,Dasatinib,0.0325,0.12,AZD1775 & Dasatinib,A427,1,0.619,0.497,0.402,0.492,0.619,0.59
AZD1775,Dasatinib,0.0325,0.6,AZD1775 & Dasatinib,A427,1,0.49,0.406,0.535,0.395,0.566,0.548
AZD1775,Dasatinib,0.0325,3,AZD1775 & Dasatinib,A427,1,0.497,0.383,0.421,0.38,0.507,0.505
AZD1775,MK-2206,0.0325,0.045,AZD1775 & MK-2206,A427,1,0.617,0.536,0.576,0.396,0.683,0.644
AZD1775,MK-2206,0.0325,0.2,AZD1775 & MK-2206,A427,1,0.621,0.455,0.449,0.512,0.606,0.579
AZD1775,MK-2206,0.0325,0.9,AZD1775 & MK-2206,A427,1,0.402,0.709,0.529,0.551,0.666,0.63
AZD1775,MK-2206,0.0325,4,AZD1775 & MK-2206,A427,1,0.347,0.378,0.286,0.394,0.451,0.467
AZD1775,MK-8776,0.0325,0.0925,AZD1775 & MK-8776,A427,1,0.519,0.597,0.261,0.496,0.633,0.601
AZD1775,MK-8776,0.0325,0.325,AZD1775 & MK-8776,A427,1,0.469,0.614,0.419,0.621,0.669,0.632
AZD1775,MK-8776,0.0325,1.15,AZD1775 & MK-8776,A427,1,0.463,0.394,0.402,0.406,0.509,0.507
AZD1775,MK-8776,0.0325,4,AZD1775 & MK-8776,A427,1,0.385,0.294,0.391,0.463,0.488,0.492
AZD1775,Sorafenib,0.0325,2.5,AZD1775 & Sorafenib,A427,1,0.573,0.559,0.558,0.664,0.692,0.653
AZD1775,Sorafenib,0.0325,5,AZD1775 & Sorafenib,A427,1,0.566,0.643,0.716,0.446,0.728,0.686
AZD1775,Sorafenib,0.0325,10,AZD1775 & Sorafenib,A427,1,0.559,0.43,0.569,0.523,0.668,0.631
AZD1775,Sorafenib,0.0325,20,AZD1775 & Sorafenib,A427,1,0.416,0.407,0.464,0.432,0.536,0.526
BEZ-235,MK-8776,0.0045,0.0925,BEZ-235 & MK-8776,A427,1,0.559,0.242,0.567,0.493,0.652,0.617
BEZ-235,MK-8776,0.0045,0.325,BEZ-235 & MK-8776,A427,1,0.416,0.353,0.37,0.409,0.49,0.493
BEZ-235,MK-8776,0.0045,1.15,BEZ-235 & MK-8776,A427,1,0.322,0.235,0.22,0.214,0.199,0.329
BEZ-235,MK-8776,0.0045,4,BEZ-235 & MK-8776,A427,1,0.246,0.228,0.255,0.225,0.221,0.34
Bortezomib,BEZ-235,0.00045,0.0045,Bortezomib & BEZ-235,A427,1,0.573,0.575,0.498,0.731,0.699,0.659
Bortezomib,BEZ-235,0.00045,0.02,Bortezomib & BEZ-235,A427,1,0.586,0.481,0.402,0.459,0.592,0.568
Bortezomib,BEZ-235,0.00045,0.09,Bortezomib & BEZ-235,A427,1,0.496,0.48,0.375,0.473,0.599,0.573
Bortezomib,BEZ-235,0.00045,0.4,Bortezomib & BEZ-235,A427,1,0.498,0.477,0.403,0.427,0.57,0.551
Bortezomib,Oxaliplatin,0.00045,0.75,Bortezomib & Oxaliplatin,A427,1,0.523,0.587,0.651,0.548,0.693,0.654
Bortezomib,Oxaliplatin,0.00045,2.25,Bortezomib & Oxaliplatin,A427,1,0.378,0.304,0.34,0.244,0.387,0.427
Bortezomib,Oxaliplatin,0.00045,6.75,Bortezomib & Oxaliplatin,A427,1,0.184,0.225,0.181,0.172,0.08,0.279
Bortezomib,Oxaliplatin,0.00045,20,Bortezomib & Oxaliplatin,A427,1,0.203,0.224,0.263,0.211,0.175,0.319
Bortezomib,geldanamycin,0.00045,0.0223,Bortezomib & geldanamycin,A427,1,0.488,0.536,0.54,0.482,0.638,0.605
Bortezomib,geldanamycin,0.00045,0.1,Bortezomib & geldanamycin,A427,1,0.625,0.526,0.383,0.45,0.612,0.584
Bortezomib,geldanamycin,0.00045,0.45,Bortezomib & geldanamycin,A427,1,0.369,0.406,0.46,0.324,0.487,0.491
Bortezomib,geldanamycin,0.00045,2,Bortezomib & geldanamycin,A427,1,0.404,0.321,0.261,0.322,0.386,0.427
Carboplatin,Dasatinib,0.825,0.024,Carboplatin & Dasatinib,A427,1,0.313,0.351,0.362,0.387,0.442,0.462
Carboplatin,Dasatinib,0.825,0.12,Carboplatin & Dasatinib,A427,1,0.214,0.344,0.225,0.206,0.179,0.321
Carboplatin,Dasatinib,0.825,0.6,Carboplatin & Dasatinib,A427,1,0.112,0.136,0.072,0.074,-0.287,0.168
Carboplatin,Dasatinib,0.825,3,Carboplatin & Dasatinib,A427,1,0.008,0.006,0.009,0.006,-1.663,0.025
Carboplatin,Lapatinib,0.825,0.055,Carboplatin & Lapatinib,A427,1,0.447,0.464,0.319,0.371,0.516,0.511
Carboplatin,Lapatinib,0.825,0.245,Carboplatin & Lapatinib,A427,1,0.216,0.199,0.182,0.196,0.123,0.297
Carboplatin,Lapatinib,0.825,1.1,Carboplatin & Lapatinib,A427,1,0.147,0.114,0.16,0.094,-0.102,0.217
Carboplatin,Lapatinib,0.825,5,Carboplatin & Lapatinib,A427,1,0.021,0.037,0.021,0.013,-1.094,0.055
Carboplatin,MK-8669,0.825,0.00011,Carboplatin & MK-8669,A427,1,0.446,0.476,0.629,0.437,0.581,0.559
Carboplatin,MK-8669,0.825,5e-04,Carboplatin & MK-8669,A427,1,0.397,0.294,0.377,0.218,0.409,0.441
Carboplatin,MK-8669,0.825,0.00223,Carboplatin & MK-8669,A427,1,0.258,0.305,0.317,0.246,0.314,0.387
